Saturn fpa (deg),Saturn v1 max,Saturn v1x max,Saturn v1y max,Titan max fpa,Titan v1 max magnitude,Titan v1x max,Titan v1y max,vp max,rp max,max semimajor axis,max eccentricity,max energy,max momentum,Saturn v1 min,Saturn v1x min,Saturn v1y min,Titan min fpa,Titan v1 min magnitude,Titan v1x min,Titan v1y min,vp min,rp min,min semimajor axis,min eccentricity,min energy,min momentum
86.0,7.740000000000005,7.721145749011044,0.5399151067795296,123.08298506542813,9.215087938293161,7.721145749011044,-5.0300848932204705,117.08877386459193,5533.392371882735,521345367.5850255,0.999989386321015,-0.03637799658190488,647898.1281354355,7.740000000000005,7.721145749011044,0.5399151067795296,123.08298506542813,9.215087938293161,7.721145749011044,-5.0300848932204705,117.08877386459193,5533.392371882735,521345367.5850255,0.999989386321015,-0.03637799658190488,647898.1281354355
87.0,7.5600000000000085,7.549639282744587,0.3956598291966568,124.42579655038948,9.152641667996697,7.549639282744587,-5.174340170803344,159.77936978704713,2971.546299555365,1702390479.5337903,0.9999982544860682,-0.011140511080157012,474791.79503598815,7.5600000000000085,7.549639282744587,0.3956598291966568,124.42579655038948,9.152641667996697,7.549639282744587,-5.174340170803344,159.77936978704713,2971.546299555365,1702390479.5337903,0.9999982544860682,-0.011140511080157012,474791.79503598815
88.0,6.8100000000000245,6.805851532000067,0.2376655725440332,128.07843724776413,8.646005177066447,6.805851532000067,-5.332334427455967,265.9967570354123,1072.188586926536,548596207.0163168,0.9999980455778344,-0.03457096450438257,285198.68705283984,6.8100000000000245,6.805851532000067,0.2376655725440332,128.07843724776413,8.646005177066447,6.805851532000067,-5.332334427455967,265.9967570354123,1072.188586926536,548596207.0163168,0.9999980455778344,-0.03457096450438257,285198.68705283984
89.0,7.9599999999997495,-7.958787653444624,-0.13892115524077306,124.30963806326538,9.635295445943202,7.958787653444624,-5.431078844759227,0.0002817966654617976,-591580407.8651438,-295790020.76663494,-1.0000012384862509,0.06411811984341056,-166705.3862889277,7.9599999999997495,-7.958787653444624,-0.13892115524077306,124.30963806326538,9.635295445943202,7.958787653444624,-5.431078844759227,0.0002817966654617976,-591580407.8651438,-295790020.76663494,-1.0000012384862509,0.06411811984341056,-166705.3862889277
90.0,7.9599999999997495,-7.9599999999997495,-4.874094260606312e-16,124.98235736375558,9.715271483597151,7.9599999999997495,-5.569999999999999,0.0002817966654617976,238001.0,-295790020.76663494,2.0,0.06411811984341056,-166705.3862889277,7.9599999999997495,-7.9599999999997495,-4.874094260606312e-16,124.98235736375558,9.715271483597151,7.9599999999997495,-5.569999999999999,0.0002817966654617976,70001.0,-295790020.76663494,2.0,0.06411811984341056,-166705.3862889277
91.0,7.9599999999997495,7.958787653444624,-0.13892115524077212,125.65226755309021,9.794594512759485,7.958787653444624,-5.708921155240772,0.0002817966654617976,-591580407.8651396,-295790020.7666329,-1.0000012384862507,0.06411811984341101,-166705.38628892653,7.9599999999997495,7.958787653444624,-0.13892115524077212,125.65226755309021,9.794594512759485,7.958787653444624,-5.708921155240772,0.0002817966654617976,-591580407.8651396,-295790020.7666329,-1.0000012384862507,0.06411811984341101,-166705.38628892653
92.0,6.8100000000000245,-6.805851532000067,0.23766557254403237,130.47525879990326,8.946988011512078,6.805851532000067,-5.807665572544033,265.99675703541334,1072.1885869265282,548596207.2472367,0.9999980455778352,-0.03457096448983066,285198.68705283885,6.8100000000000245,-6.805851532000067,0.23766557254403237,130.47525879990326,8.946988011512078,6.805851532000067,-5.807665572544033,265.99675703541334,1072.1885869265282,548596207.2472367,0.9999980455778352,-0.03457096448983066,285198.68705283885
93.0,7.5600000000000085,-7.549639282744587,0.3956598291966559,128.31548628154673,9.622169739578016,7.549639282744587,-5.965659829196656,159.77936978704753,2971.5462995553503,1702390479.5337903,0.9999982544860682,-0.011140511080157012,474791.79503598704,7.5600000000000085,-7.549639282744587,0.3956598291966559,128.31548628154673,9.622169739578016,7.549639282744587,-5.965659829196656,159.77936978704753,2971.5462995553503,1702390479.5337903,0.9999982544860682,-0.011140511080157012,474791.79503598704
94.0,7.740000000000005,-7.721145749011044,0.5399151067795304,128.3553556480696,9.84617460181994,7.721145749011044,-6.109915106779531,117.08877386459177,5533.39237188275,521345367.5850255,0.999989386321015,-0.03637799658190488,647898.1281354364,7.740000000000005,-7.721145749011044,0.5399151067795304,128.3553556480696,9.84617460181994,7.721145749011044,-6.109915106779531,117.08877386459177,5533.39237188275,521345367.5850255,0.999989386321015,-0.03637799658190488,647898.1281354364
95.0,7.820000000000003,-7.790242539077453,0.6815579082866876,128.74654308165262,9.988486126451482,7.790242539077453,-6.251557908286688,92.7552039687655,8817.505163585598,959317328.3643733,0.9999908085626071,-0.019769787784753134,817869.4899440252,7.820000000000003,-7.790242539077453,0.6815579082866876,128.74654308165262,9.988486126451482,7.790242539077453,-6.251557908286688,92.7552039687655,8817.505163585598,959317328.3643733,0.9999908085626071,-0.019769787784753134,817869.4899440252
96.0,7.860000000000002,-7.81694209759463,0.8215937212837572,129.27146166886556,10.097378573426921,7.81694209759463,-6.3915937212837575,76.9453432669678,12813.153125067092,775258672.563452,0.9999834724156227,-0.024463447712605557,985912.4655405086,7.860000000000002,-7.81694209759463,0.8215937212837572,129.27146166886556,10.097378573426921,7.81694209759463,-6.3915937212837575,76.9453432669678,12813.153125067092,775258672.563452,0.9999834724156227,-0.024463447712605557,985912.4655405086
97.0,7.880000000000002,-7.82126367493362,0.9603304260325615,129.8600480798879,10.189081457423077,7.82126367493362,-6.530330426032561,65.82809034986519,17506.151327104897,342574610.7439497,0.9999488982814894,-0.05536166255524222,1152396.5112390737,7.880000000000002,-7.82126367493362,0.9603304260325615,129.8600480798879,10.189081457423077,7.82126367493362,-6.530330426032561,65.82809034986519,17506.151327104897,342574610.7439497,0.9999488982814894,-0.05536166255524222,1152396.5112390737
