intercept location (deg),v_infinity wrt Titian magnitude (km/s),v_infinity x component,v_infinity y component,v_infinity z component
77,12.397393526355527,5.42724126085376,11.012671372840114,1.7208973756840507
78,12.322450879483092,5.448282136087298,10.917762117999706,1.7208973756840507
79,12.246768531820086,5.467663411803489,10.822500104392141,1.7208973756840507
80,12.170355953702021,5.485379184277999,10.726914349749588,1.7208973756840507
81,12.09322280097572,5.501424057114917,10.631033970418871,1.7208973756840507
82,12.01537891952284,5.515793142890547,10.53488817249235,1.7208973756840507
83,11.936834350027976,5.528482064642164,10.438506242911457,1.7208973756840507
84,11.857599333005162,5.539486957201283,10.341917540545616,1.7208973756840507
85,11.777684314097396,5.548804468371023,10.245151487249242,1.7208973756840507
86,11.697099949664711,5.5564317599472215,10.148237558899563,1.7208973756840507
87,11.615857112677244,5.5623665085829765,10.051205276417983,1.7208973756840507
88,11.533966898930702,5.5666069064963635,9.954084196777716,1.7208973756840507
